var,importance,random_perm_importance,lasso_coefficient
W,0.854295262118842,1.5118709957190473,32.88265966402275
1451,0.0113467760351949,0.0234381674393553,1473.243933907051
M,0.0128104190023891,0.017534625601938,1.6295011069847714
S,0.0077643345689768,0.007758336295605,1.5280284148786685
wound_thresholds,0.0261911326576143,0.0067276189374622,-47.35782203093113
BS,0.0067628718035269,0.0050575557853454,0.3029826768479617
T,0.0031194148313741,0.0039860892107363,-21.4398871392682
A,0.0039635198266886,0.0033398359193189,-2.700065729346653
Ld,0.0030315069292722,0.0012826663458583,6.543140794132814
4971,0.0154375666250485,0.0009670485174069,618.7514300159371
Titanicus Traitoris,0.0024097836365886,0.0007949940346845,147.3919902838214
transport,0.0007511387903465,0.0004547149845844,-33.43601040703339
role_HQ,0.0005132285501097,0.0003228517722672,-2.0532053012037808
Sv,0.0005426196546132,0.0003007740265156,0.6388455463146916
954,0.0009521515780221,0.0002813096573515,45.80569028180561
faction_id_NEC,0.0001594941408473,0.0002241210560338,5.71139713427843
faction_id_TL,0.0183401458000106,0.0001952363595048,10.03332020548952
Necrons,0.0001359470824916,0.0001734698162067,15.347735499194409
role_Fast Attack,0.0001709573228862,0.0001564685193966,-6.955160466900741
role_Fortifications,0.0001287377571422,0.0001026373085662,-21.488758647346177
faction_id_TAU,0.0001448241027819,9.866113773646656e-05,-0.0
Adeptus Astartes,0.000156570632903,9.815996762212454e-05,6.371927225047334
<Sept>,0.0001019058416638,6.285417709490648e-05,8.801631510754639
843,7.309305764747807e-05,6.24917658097468e-05,0.0
T’au Empire,7.024262091177676e-05,5.605875220762169e-05,0.0
models_per_unit,0.000119479833237,4.70365059260347e-05,2.3407018975464533
faction_id_UN,1.6422237802527178e-05,4.25640771624547e-05,-22.753540243039403
role_Elites,0.0001204599871827,3.884031051946124e-05,4.749667977667636
<Dynasty>,4.306653786529955e-05,3.644974623646657e-05,-25.52545182478257
Unaligned,6.444303989493365e-05,3.394940594798612e-05,-0.0
534,5.46163688038994e-05,2.9871856859942093e-05,25.689607970623918
Ultramarines,0.0002536022983644,2.9361488903245635e-05,15.807301758737148
role_Lords of War,0.0008358033656085,2.243156345977937e-05,-8.38029614430672
4979,9.441568319323908e-05,2.228133317581093e-05,-0.0
Ork,3.968308171596575e-05,1.9380686806669267e-05,0.0
